evals.q.250.	_.mt.100.3.ga.best.fitness	_.mt.100.3.ga.best.fitness.min	_.mt.100.3.ga.best.fitness.max	_.mt.100.3.ga.33.best.fitness	_.mt.100.3.ga.33.best.fitness.min	_.mt.100.3.ga.33.best.fitness.max	_.mt.100.3.me.2.best.fitness	_.mt.100.3.me.2.best.fitness.min	_.mt.100.3.me.2.best.fitness.max	_.mt.100.3.cabea.e.11.best.fitness	_.mt.100.3.cabea.e.11.best.fitness.min	_.mt.100.3.cabea.e.11.best.fitness.max	_.mt.100.3.cabea.cc.11.best.fitness	_.mt.100.3.cabea.cc.11.best.fitness.min	_.mt.100.3.cabea.cc.11.best.fitness.max	_.mt.100.3.cabea.e.21.best.fitness	_.mt.100.3.cabea.e.21.best.fitness.min	_.mt.100.3.cabea.e.21.best.fitness.max	_.mt.100.3.cabea.cc.21.best.fitness	_.mt.100.3.cabea.cc.21.best.fitness.min	_.mt.100.3.cabea.cc.21.best.fitness.max
1.400e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.000e-02	4.600e-01	4.400e-01	4.800e-01	4.100e-01	3.800e-01	4.300e-01	2.500e-01	2.300e-01	2.800e-01	6.700e-01	6.600e-01	6.800e-01	nan	nan	nan
1.425e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.600e-01	4.400e-01	4.700e-01	4.000e-01	3.800e-01	4.200e-01	2.500e-01	2.200e-01	2.800e-01	nan	nan	nan	6.400e-01	6.200e-01	6.500e-01
1.450e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.500e-01	4.300e-01	4.700e-01	4.000e-01	3.700e-01	4.200e-01	2.500e-01	2.200e-01	2.700e-01	6.700e-01	6.500e-01	6.800e-01	6.400e-01	6.100e-01	6.500e-01
1.475e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.500e-01	4.300e-01	4.600e-01	4.000e-01	3.700e-01	4.100e-01	2.400e-01	2.100e-01	2.700e-01	nan	nan	nan	6.400e-01	6.100e-01	6.500e-01
1.500e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.400e-01	4.200e-01	4.600e-01	3.900e-01	3.600e-01	4.100e-01	2.300e-01	2.000e-01	2.700e-01	6.600e-01	6.500e-01	6.700e-01	nan	nan	nan
1.525e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.400e-01	4.200e-01	4.600e-01	3.800e-01	3.500e-01	4.000e-01	2.200e-01	2.000e-01	2.500e-01	nan	nan	nan	6.300e-01	6.100e-01	6.400e-01
1.550e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.400e-01	4.200e-01	4.600e-01	3.700e-01	3.500e-01	4.000e-01	2.200e-01	2.000e-01	2.500e-01	6.600e-01	6.400e-01	6.700e-01	6.300e-01	6.100e-01	6.400e-01
1.575e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.400e-01	4.200e-01	4.600e-01	3.700e-01	3.300e-01	3.900e-01	2.200e-01	1.900e-01	2.400e-01	nan	nan	nan	6.300e-01	6.100e-01	6.300e-01
1.600e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.300e-01	4.200e-01	4.600e-01	3.700e-01	3.300e-01	3.800e-01	2.100e-01	1.900e-01	2.300e-01	6.500e-01	6.400e-01	6.700e-01	6.200e-01	6.000e-01	6.300e-01
1.625e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.300e-01	4.200e-01	4.500e-01	3.500e-01	3.300e-01	3.800e-01	2.000e-01	1.800e-01	2.300e-01	6.500e-01	6.300e-01	6.600e-01	nan	nan	nan
