evals.q.250.	_.mt.100.3.ga.all.each.solution.overall.target.distance	_.mt.100.3.ga.all.each.solution.overall.target.distance.min	_.mt.100.3.ga.all.each.solution.overall.target.distance.max	_.mt.100.3.ga.33.all.each.solution.overall.target.distance	_.mt.100.3.ga.33.all.each.solution.overall.target.distance.min	_.mt.100.3.ga.33.all.each.solution.overall.target.distance.max	_.mt.100.3.me.2.all.each.solution.overall.target.distance	_.mt.100.3.me.2.all.each.solution.overall.target.distance.min	_.mt.100.3.me.2.all.each.solution.overall.target.distance.max	_.mt.100.3.cabea.e.11.all.each.solution.overall.target.distance	_.mt.100.3.cabea.e.11.all.each.solution.overall.target.distance.min	_.mt.100.3.cabea.e.11.all.each.solution.overall.target.distance.max	_.mt.100.3.cabea.cc.11.all.each.solution.overall.target.distance	_.mt.100.3.cabea.cc.11.all.each.solution.overall.target.distance.min	_.mt.100.3.cabea.cc.11.all.each.solution.overall.target.distance.max	_.mt.100.3.cabea.e.21.all.each.solution.overall.target.distance	_.mt.100.3.cabea.e.21.all.each.solution.overall.target.distance.min	_.mt.100.3.cabea.e.21.all.each.solution.overall.target.distance.max	_.mt.100.3.cabea.cc.21.all.each.solution.overall.target.distance	_.mt.100.3.cabea.cc.21.all.each.solution.overall.target.distance.min	_.mt.100.3.cabea.cc.21.all.each.solution.overall.target.distance.max
1.425e+04	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	5.333e-01	5.067e-01	5.633e-01	4.567e-01	4.400e-01	4.733e-01	3.600e-01	3.200e-01	4.067e-01	nan	nan	nan	6.633e-01	6.500e-01	6.700e-01
1.450e+04	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	5.333e-01	5.067e-01	5.633e-01	4.533e-01	4.367e-01	4.667e-01	3.500e-01	3.167e-01	4.033e-01	6.833e-01	6.800e-01	6.900e-01	6.533e-01	6.433e-01	6.633e-01
1.475e+04	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	5.300e-01	5.067e-01	5.600e-01	4.467e-01	4.300e-01	4.667e-01	3.433e-01	3.167e-01	4.000e-01	nan	nan	nan	6.533e-01	6.433e-01	6.600e-01
1.500e+04	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	5.300e-01	5.033e-01	5.567e-01	4.367e-01	4.233e-01	4.633e-01	3.333e-01	3.033e-01	3.933e-01	6.800e-01	6.733e-01	6.867e-01	nan	nan	nan
1.525e+04	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	5.267e-01	5.033e-01	5.567e-01	4.300e-01	4.167e-01	4.567e-01	3.300e-01	2.933e-01	3.900e-01	nan	nan	nan	6.500e-01	6.433e-01	6.567e-01
1.550e+04	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	5.267e-01	4.967e-01	5.500e-01	4.267e-01	4.100e-01	4.533e-01	3.267e-01	2.933e-01	3.867e-01	6.800e-01	6.700e-01	6.833e-01	6.467e-01	6.333e-01	6.533e-01
1.575e+04	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	5.233e-01	4.967e-01	5.500e-01	4.267e-01	4.100e-01	4.467e-01	3.233e-01	2.933e-01	3.833e-01	nan	nan	nan	6.400e-01	6.300e-01	6.533e-01
1.600e+04	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	5.200e-01	4.967e-01	5.500e-01	4.200e-01	4.100e-01	4.433e-01	3.200e-01	2.867e-01	3.800e-01	6.767e-01	6.667e-01	6.800e-01	6.367e-01	6.233e-01	6.467e-01
1.625e+04	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	5.167e-01	4.933e-01	5.467e-01	4.100e-01	4.033e-01	4.400e-01	3.133e-01	2.867e-01	3.767e-01	6.667e-01	6.600e-01	6.767e-01	nan	nan	nan
1.650e+04	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	5.133e-01	4.900e-01	5.400e-01	4.100e-01	3.967e-01	4.367e-01	3.133e-01	2.767e-01	3.733e-01	nan	nan	nan	6.333e-01	6.200e-01	6.433e-01
