x	y	0.fitness	0.targets.dist.0.	0.targets.dist.1.	0.targets.dist.2.	5000.fitness	5000.targets.dist.0.	5000.targets.dist.1.	5000.targets.dist.2.	10000.fitness	10000.targets.dist.0.	10000.targets.dist.1.	10000.targets.dist.2.	15000.fitness	15000.targets.dist.0.	15000.targets.dist.1.	15000.targets.dist.2.	20000.fitness	20000.targets.dist.0.	20000.targets.dist.1.	20000.targets.dist.2.	25000.fitness	25000.targets.dist.0.	25000.targets.dist.1.	25000.targets.dist.2.	30000.fitness	30000.targets.dist.0.	30000.targets.dist.1.	30000.targets.dist.2.	40000.fitness	40000.targets.dist.0.	40000.targets.dist.1.	40000.targets.dist.2.	50000.fitness	50000.targets.dist.0.	50000.targets.dist.1.	50000.targets.dist.2.
4	1	6.522e+00	6.686e+00	6.522e+00	8.500e+00	2.159e+00	4.626e+00	2.159e+00	6.481e+00	1.787e+00	4.863e+00	1.787e+00	6.872e+00	1.464e+00	5.134e+00	1.464e+00	6.748e+00	1.452e+00	5.314e+00	1.452e+00	6.869e+00	1.452e+00	5.314e+00	1.452e+00	6.869e+00	1.452e+00	5.314e+00	1.452e+00	6.869e+00	1.045e+00	5.250e+00	1.045e+00	6.754e+00	1.045e+00	5.250e+00	1.045e+00	6.754e+00
4	2	6.721e+00	6.856e+00	6.721e+00	8.775e+00	2.295e+00	4.980e+00	2.295e+00	6.486e+00	1.685e+00	5.339e+00	1.685e+00	6.673e+00	1.685e+00	5.339e+00	1.685e+00	6.673e+00	1.685e+00	5.339e+00	1.685e+00	6.673e+00	1.553e+00	5.470e+00	1.553e+00	7.071e+00	1.448e+00	5.087e+00	1.448e+00	6.642e+00	1.448e+00	5.087e+00	1.448e+00	6.642e+00	1.448e+00	5.087e+00	1.448e+00	6.642e+00
4	3	6.594e+00	6.594e+00	6.751e+00	7.626e+00	2.332e+00	5.445e+00	2.332e+00	6.660e+00	1.910e+00	5.029e+00	1.910e+00	6.524e+00	1.515e+00	4.395e+00	1.515e+00	6.010e+00	1.398e+00	5.253e+00	1.398e+00	6.357e+00	1.398e+00	5.253e+00	1.398e+00	6.357e+00	1.398e+00	5.253e+00	1.398e+00	6.357e+00	1.398e+00	5.253e+00	1.398e+00	6.357e+00	1.392e+00	5.249e+00	1.392e+00	6.544e+00
4	4	5.959e+00	6.665e+00	5.959e+00	7.721e+00	2.157e+00	5.741e+00	2.157e+00	6.892e+00	1.482e+00	5.641e+00	1.482e+00	6.652e+00	1.482e+00	5.641e+00	1.482e+00	6.652e+00	1.482e+00	5.641e+00	1.482e+00	6.652e+00	1.482e+00	5.641e+00	1.482e+00	6.652e+00	1.482e+00	5.641e+00	1.482e+00	6.652e+00	1.482e+00	5.641e+00	1.482e+00	6.652e+00	1.482e+00	5.641e+00	1.482e+00	6.652e+00
4	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	6	5.449e+00	6.646e+00	5.449e+00	8.151e+00	2.294e+00	5.300e+00	2.294e+00	7.250e+00	1.833e+00	5.449e+00	1.833e+00	6.279e+00	1.552e+00	5.622e+00	1.552e+00	7.050e+00	1.520e+00	5.597e+00	1.520e+00	6.582e+00	1.288e+00	5.328e+00	1.288e+00	6.253e+00	1.288e+00	5.328e+00	1.288e+00	6.253e+00	1.288e+00	5.328e+00	1.288e+00	6.253e+00	1.288e+00	5.328e+00	1.288e+00	6.253e+00
4	7	5.986e+00	6.755e+00	5.986e+00	8.349e+00	2.253e+00	5.135e+00	2.253e+00	6.866e+00	2.105e+00	5.352e+00	2.105e+00	7.161e+00	1.682e+00	5.521e+00	1.682e+00	6.575e+00	1.617e+00	5.133e+00	1.617e+00	6.367e+00	1.539e+00	4.913e+00	1.539e+00	6.295e+00	1.119e+00	5.387e+00	1.119e+00	6.766e+00	1.119e+00	5.387e+00	1.119e+00	6.766e+00	1.119e+00	5.387e+00	1.119e+00	6.766e+00
4	8	5.708e+00	5.860e+00	5.708e+00	7.552e+00	2.321e+00	5.256e+00	2.321e+00	7.276e+00	1.903e+00	5.446e+00	1.903e+00	6.922e+00	1.806e+00	4.931e+00	1.806e+00	6.372e+00	1.508e+00	5.116e+00	1.508e+00	6.530e+00	1.244e+00	5.064e+00	1.244e+00	6.566e+00	1.244e+00	5.064e+00	1.244e+00	6.566e+00	1.244e+00	5.064e+00	1.244e+00	6.566e+00	1.244e+00	5.064e+00	1.244e+00	6.566e+00
4	9	5.637e+00	6.720e+00	5.637e+00	8.249e+00	2.456e+00	4.569e+00	2.456e+00	6.543e+00	2.004e+00	4.621e+00	2.004e+00	6.068e+00	2.004e+00	4.621e+00	2.004e+00	6.068e+00	1.629e+00	5.042e+00	1.629e+00	6.647e+00	1.629e+00	5.042e+00	1.629e+00	6.647e+00	1.449e+00	5.185e+00	1.449e+00	6.543e+00	1.449e+00	5.185e+00	1.449e+00	6.543e+00	1.430e+00	5.364e+00	1.430e+00	6.496e+00
4	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
